"","fam_log","family_members_no","age","marital_status","house_damage","abroad","district","pa_name_self","start_reconstruct","consult_knowledge","pa_name","visit_office","self_visit"
"201",1.6094379124341,5,28,1,2,0,"Lalitpur",0,1,0,1,0,NA
"202",0,1,46,1,2,1,"Lalitpur",NA,0,0,NA,0,NA
"203",1.79175946922805,6,45,0,2,0,"Kavrepalanchok",NA,1,0,NA,0,NA
"204",1.94591014905531,7,42,1,1,0,"Lalitpur",0,1,0,0,0,NA
"205",1.38629436111989,4,36,0,2,0,"Kavrepalanchok",1,1,1,2,1,1
"206",0.693147180559945,2,48,0,2,1,"Sindhupalchowk",1,1,1,2,1,1
"207",2.39789527279837,11,29,1,2,1,"Makawanpur",0,1,1,1,1,1
"208",1.6094379124341,5,28,1,1,0,"Kathmandu",0,0,0,0,0,NA
"209",1.38629436111989,4,29,1,2,0,"Ramechhap",0,1,1,0,1,0
"210",1.09861228866811,3,43,1,1,0,"Lalitpur",0,0,0,0,NA,NA
"211",1.94591014905531,7,24,1,2,0,"Nuwakot",0,1,0,0,0,NA
"212",1.09861228866811,3,40,1,2,0,"Bhaktapur",0,1,1,0,0,NA
"213",1.6094379124341,5,29,1,2,1,"Rasuwa",0,1,1,0,1,1
"214",1.09861228866811,3,36,1,2,1,"Dolakha",1,1,1,2,1,1
"215",1.09861228866811,3,45,1,1,0,"Kavrepalanchok",1,1,1,2,1,1
"216",0.693147180559945,2,40,1,2,0,"Makawanpur",1,1,1,2,1,1
"217",1.38629436111989,4,29,1,2,0,"Makawanpur",0,1,1,0,1,0
"218",1.79175946922805,6,26,1,0,0,"Ramechhap",1,1,1,2,1,1
"219",1.38629436111989,4,26,1,2,1,"Okhaldhunga",1,1,1,2,1,1
"220",1.09861228866811,3,42,1,1,0,"Dolakha",1,1,1,2,1,1
"221",1.09861228866811,3,44,1,2,1,"Sindhuli",0,0,1,1,1,1
"222",1.79175946922805,6,61,1,0,0,"Lalitpur",NA,1,1,NA,0,NA
"223",1.09861228866811,3,52,0,0,0,"Kavrepalanchok",1,0,0,2,0,NA
"224",0,1,81,0,2,0,"Kavrepalanchok",1,1,0,2,0,NA
"225",1.09861228866811,3,50,1,2,0,"Dhading",1,1,1,2,0,NA
"226",1.94591014905531,7,42,1,2,0,"Dhading",0,1,1,1,1,0
"227",0.693147180559945,2,64,0,1,0,"Lalitpur",1,0,0,2,0,NA
"228",1.38629436111989,4,74,1,1,0,"Lalitpur",1,1,1,2,1,1
"229",1.79175946922805,6,74,0,1,0,"Bhaktapur",0,0,0,0,0,NA
"230",1.79175946922805,6,40,1,2,0,"Rasuwa",0,1,1,0,1,0
"231",1.79175946922805,6,50,1,2,0,"Kavrepalanchok",1,0,1,2,1,0
"232",1.79175946922805,6,37,1,1,0,"Sindhupalchowk",1,1,1,2,1,1
"233",1.38629436111989,4,30,1,2,1,"Rasuwa",0,1,1,0,1,1
"234",1.79175946922805,6,28,1,2,0,"Rasuwa",0,1,1,0,0,NA
"235",1.38629436111989,4,50,1,1,0,"Kathmandu",0,0,0,0,0,NA
"236",1.09861228866811,3,23,1,2,1,"Ramechhap",0,1,1,0,1,1
"237",2.39789527279837,11,40,1,2,0,"Makawanpur",0,1,1,0,1,0
"238",1.38629436111989,4,39,1,1,0,"Dolakha",1,1,1,2,1,1
"239",1.6094379124341,5,55,1,2,0,"Kathmandu",0,1,1,0,0,NA
"240",0.693147180559945,2,72,0,2,0,"Rasuwa",1,0,0,2,1,1
"241",1.09861228866811,3,34,1,2,0,"Nuwakot",1,1,1,2,1,1
"242",1.38629436111989,4,24,1,2,0,"Bhaktapur",0,0,0,0,0,NA
"243",2.39789527279837,11,55,1,1,0,"Sindhupalchowk",0,1,1,0,1,0
"244",1.38629436111989,4,30,1,2,1,"Bhaktapur",0,1,1,0,1,1
"245",1.6094379124341,5,38,1,2,1,"Sindhupalchowk",1,1,1,2,1,0
"246",1.94591014905531,7,43,0,1,0,"Sindhuli",1,0,1,2,1,1
"247",1.6094379124341,5,30,1,1,0,"Nuwakot",NA,1,0,NA,0,NA
"248",1.6094379124341,5,22,1,2,0,"Sindhuli",0,1,1,0,1,0
"249",0.693147180559945,2,35,0,1,0,"Lalitpur",1,1,1,2,1,1
"250",1.38629436111989,4,45,1,1,1,"Sindhuli",1,0,1,2,NA,NA
"251",1.38629436111989,4,45,1,1,1,"Sindhuli",1,0,1,2,NA,NA
"252",1.6094379124341,5,32,1,1,1,"Kathmandu",0,0,0,1,0,NA
